SystemID,Iteration,core,atomic
2,1,52198068,12207372
2,2,4766686,8774356
2,3,3916760,6851930
2,4,3374267,6592062
2,5,2699766,5926259
2,6,2529181,4427932
2,7,2253361,3918150
2,8,2649674,4012660
2,9,2031486,3952257
2,10,2579375,3825429
29,1,2094010,4002141
29,2,1906578,4277518
29,3,1754366,3825927
29,4,1589648,3917129
29,5,1652305,3584731
29,6,1509148,3597927
29,7,1577587,3671901
29,8,1530108,3510820
29,9,1433975,3267142
29,10,1460281,3256929
41,1,1422722,3157209
41,2,1546783,3560098
41,3,1440994,2884059
41,4,1456459,2686731
41,5,1406572,3035747
41,6,1421775,2929732
41,7,1383168,2874561
41,8,1468180,2881264
41,9,1352334,2761391
41,10,1428378,2922795
34,1,1371279,2653902
34,2,1261937,3347648
34,3,1299667,2657464
34,4,1197385,2544866
34,5,1118144,2418280
34,6,1129498,2340453
34,7,1226681,2394938
34,8,1142089,2354578
34,9,1162775,2333353
34,10,1167213,2489454
6,1,1206790,3771363
6,2,1176057,3730551
6,3,1220842,3650601
6,4,1231470,3615847
6,5,1087430,3417239
6,6,1090144,3027995
6,7,1198459,3231544
6,8,1157247,3140067
6,9,1094490,3008492
6,10,998975,3185855
44,1,1074045,5034139
44,2,974481,5049979
44,3,1023749,4750456
44,4,841760,4720083
44,5,880028,4667609
44,6,809015,4590595
44,7,1028438,4950086
44,8,943238,4797611
44,9,937795,4696297
44,10,883654,4431811
30,1,1531195,2494235
30,2,1379619,2526030
30,3,1348859,2311278
30,4,1383827,2631176
30,5,1278445,2329888
30,6,1168239,2101150
30,7,1336683,2235307
30,8,1212125,2145574
30,9,1223319,1893522
30,10,1239871,2192629
11,1,1061682,3839929
11,2,949381,3711950
11,3,886378,3701523
11,4,939136,3714678
11,5,962654,3866159
11,6,908657,3637596
11,7,2688979,3247956
11,8,970407,2994301
11,9,875494,2843195
11,10,908219,2882262
10,1,1425209,2705473
10,2,1220856,2801604
10,3,1208119,2611381
10,4,1135777,2404439
10,5,1109644,2374058
10,6,1380836,2462767
10,7,1016655,2346299
10,8,1051859,2347324
10,9,1031389,2353708
10,10,1043028,2314134
0,1,1230055,2359956
0,2,931551,2450921
0,3,940504,2406413
0,4,1075456,2393374
0,5,898843,2295043
0,6,876132,2664787
0,7,1009683,2261996
0,8,899548,2259560
0,9,885949,2365975
0,10,909435,2264101
14,1,1323481,2255166
14,2,1081918,2187846
14,3,1022991,2191587
14,4,1160015,2183257
14,5,1277053,2438059
14,6,998341,2431636
14,7,1047791,2083243
14,8,973197,2053617
14,9,1032754,2237117
14,10,1056070,2054850
16,1,1004293,3203529
16,2,878155,11122344
16,3,1039708,2984194
16,4,859423,3003872
16,5,804306,3125656
16,6,860200,3291561
16,7,868569,3215028
16,8,790433,2509349
16,9,791115,2922447
16,10,813826,2858480
1,1,1018754,2758260
1,2,842089,3056762
1,3,808557,2620044
1,4,643646,2947076
1,5,676435,2739790
1,6,554512,2682739
1,7,664237,3090438
1,8,701016,2878899
1,9,724179,3152932
1,10,860858,3501076
39,1,5347116,16162032
39,2,2432533,13556825
39,3,2053838,11806145
39,4,1998851,10153128
39,5,1732920,6725824
39,6,1460469,6958280
39,7,1462367,6544756
39,8,1454841,6616304
39,9,1444636,6844360
39,10,1486983,6562449
15,1,1328721,5394505
15,2,1234551,4670668
15,3,1059408,4572598
15,4,1154935,5132686
15,5,1210766,4876069
15,6,1014204,4595036
15,7,1165994,4623034
15,8,1158201,4491268
15,9,1070425,4682599
15,10,1252158,4701444
31,1,1570468,10455648
