Configuration;DB;OS;NutOS;Win;BufferMgr;Persistent;MemAlloc;Static;Dynamic;PageRepl;LRU;LFU;InMemory;DebugLogging;Storage;API;get;put;delete;Index;BTree;Unindexed
0;+;+;-;+;+;-;-;-;-;-;-;-;+;-;+;+;-;+;+;+;-;+
1;+;+;-;+;+;+;+;-;+;+;+;-;-;-;+;+;+;-;-;+;-;+
2;+;+;+;-;+;+;+;+;-;+;+;-;-;-;+;+;-;+;+;+;+;-
3;+;+;-;+;+;+;+;-;+;+;-;+;-;+;+;+;+;+;+;+;-;+
4;+;+;+;-;+;+;+;+;-;+;-;+;-;+;+;+;+;-;+;+;-;+
5;+;+;-;+;+;-;-;-;-;-;-;-;+;+;+;+;-;+;-;+;+;-
6;+;+;-;+;+;+;+;+;-;+;+;-;-;+;+;+;-;-;+;+;-;+
7;+;+;-;+;+;+;+;+;-;+;+;-;-;-;+;+;+;-;-;+;+;-
8;+;+;+;-;+;-;-;-;-;-;-;-;+;-;+;+;+;-;-;+;-;+
9;+;+;+;-;+;+;+;-;+;+;-;+;-;-;+;+;-;+;-;+;+;-
