Configuration;Sorting;Sorting_C;SortWP;MetalPlastic;LightDark;CountWP;AlarmFunction;DistributeWP;SeparateWP;HandoverMetal;RejectsWithCap;RejectsWithoutCap;Sorting_M;StationDistributing;Transporter;Gripper;StationInspecting;StationSeparating;StationSorting;Chute1;Chute2;Chute3;StationHandling;Sorting_E;Pneumatics;Switch1;Switch2;EE;MotorOfConveyor;Sensors;Lightbarrier;IndSensor;OptSensor;Sorting_S;CountWPS;Processed;SortingWP;MetalPlasticS;LightDarkS
0;+;+;-;-;-;+;-;+;+;-;+;-;+;+;+;-;-;+;-;-;-;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+
1;+;+;-;-;-;-;-;+;+;-;+;-;+;+;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;-;+
2;+;+;-;-;-;-;+;+;+;+;-;-;+;+;-;+;-;+;+;+;+;+;-;+;+;+;-;+;+;+;+;-;-;+;+;+;+;+;-
3;+;+;+;-;+;-;-;+;+;-;+;-;+;+;+;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;-;-;+;-;+
4;+;+;+;-;+;-;+;+;+;-;+;-;+;+;-;+;+;+;+;+;-;+;-;+;+;-;+;+;+;+;+;-;+;+;-;-;+;+;+
5;+;+;-;-;-;+;+;+;-;-;-;-;+;+;+;-;-;-;+;+;+;-;-;+;+;-;+;+;+;+;+;-;+;+;+;+;+;+;-
6;+;+;-;-;-;+;-;+;+;-;+;-;+;+;+;-;+;+;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;-
7;+;+;-;-;-;-;+;+;+;-;+;-;+;+;-;+;-;+;+;+;-;+;-;+;+;-;+;+;+;+;+;-;+;+;-;-;+;-;+
8;+;+;-;-;-;-;-;+;-;-;-;-;+;+;-;+;+;+;+;+;+;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;-;+
9;+;+;+;+;-;+;-;+;+;-;+;-;+;+;-;+;+;-;+;+;+;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+
10;+;+;+;+;-;-;-;+;-;-;-;-;+;+;+;-;-;+;+;+;+;-;-;+;+;+;-;+;+;+;+;+;-;+;-;-;+;+;+
11;+;+;-;-;-;+;-;+;-;-;-;-;+;+;-;+;+;-;-;-;-;-;+;+;+;+;-;+;+;+;+;-;-;+;+;+;+;-;+
12;+;+;-;-;-;+;+;+;+;-;-;+;+;+;+;-;+;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;-;+;+;+;+;-;+
13;+;+;-;-;-;-;+;+;+;-;-;+;+;+;+;-;-;+;+;+;+;+;+;+;+;-;+;+;+;+;+;-;-;+;-;-;+;-;+
