ID;Group;SPL;generatedSPL;DERIVATIVES;Derivative_LoggingEvictor_Statistics_Evictor_LoggingBase;Derivative_LoggingEvictor_Evictor_MemoryBudget_LoggingBase;Derivative_LoggingInfo_Statistics_Verifier;Derivative_Latches_Statistics_Verifier;Derivative_Latches_Verifier_INCompressor;Derivative_Statistics_Verifier_INCompressor;Derivative_Statistics_Verifier_DeleteOp;Derivative_LookAHEADCache_Evictor_CriticalEviction;Derivative_INCompressor_Evictor_CriticalEviction;Derivative_Evictor_MemoryBudget_CriticalEviction;Derivative_LoggingEvictor_Evictor_LoggingBase;Derivative_FSync_Latches;Derivative_NIO_ChunkedNIO;Derivative_IO_SynchronizedIO;Derivative_LoggingConfig_Statistics;Derivative_FSync_Statistics;Derivative_LookAHEADCache_Statistics;Derivative_Latches_Statistics;Derivative_Latches_CheckLeaks;Derivative_Statistics_CheckLeaks;Derivative_Statistics_Verifier;Derivative_LoggingFinest_CPBytes;Derivative_CheckpointerDaemon_CPBytes;Derivative_LoggingFinest_CPTime;Derivative_CPBytes_CPTime;Derivative_LoggingFine_INCompressor;Derivative_Latches_INCompressor;Derivative_Statistics_INCompressor;Derivative_Verifier_INCompressor;Derivative_LoggingCleaner_DeleteOp;Derivative_Latches_DeleteOp;Derivative_Statistics_DeleteOp;Derivative_INCompressor_DeleteOp;Derivative_LoggingFinest_TruncateOp;Derivative_Latches_TruncateOp;Derivative_DeleteOp_TruncateOp;Derivative_Latches_RenameOp;Derivative_LoggingEvictor_Evictor;Derivative_Latches_Evictor;Derivative_Statistics_Evictor;Derivative_INCompressor_Evictor;Derivative_DeleteOp_Evictor;Derivative_LoggingInfo_MemoryBudget;Derivative_LookAHEADCache_MemoryBudget;Derivative_Latches_MemoryBudget;Derivative_Statistics_MemoryBudget;Derivative_DeleteOp_MemoryBudget;Derivative_Evictor_MemoryBudget;Derivative_Evictor_CriticalEviction;Derivative_Evictor_EvictorDaemon;Derivative_Latches_FileHandleCache;Derivative_LoggingSevere_EnvironmentLocking;Derivative_LoggingFinest_LoggingBase;Derivative_LoggingFiner_LoggingBase;Derivative_LoggingFine_LoggingBase;Derivative_LoggingSevere_LoggingBase;Derivative_LoggingRecovery_LoggingBase;Derivative_LoggingCleaner_LoggingBase;Derivative_LoggingFileHandler_LoggingBase;Derivative_LoggingDbLogHandler_LoggingBase;Derivative_LoggingConsoleHandler_LoggingBase;Logging;LoggingFiner;LoggingConfig;LoggingSevere;LoggingEvictor;LoggingCleaner;LoggingRecovery;LoggingDbLogHandler;LoggingConsoleHandler;LoggingInfo;LoggingBase;LoggingFileHandler;LoggingFine;LoggingFinest;ConcurrTrans;Latches;Transactions;CheckLeaks;FSync;Persistance;Checksum;IIO;OldIO;SynchronizedIO;IO;NewIO;NIOAccess;ChunkedNIO;NIO;DirectNIO;EnvironmentLocking;Checkpointer;CPBytes;CPTime;CheckpointerDaemon;DiskFullErro;FileHandleCache;IICleaner;CleanerDaemon;Cleaner;LookAHEADCache;Statistics;BTree;INCompressor;IEvictor;CriticalEviction;EvictorDaemon;Evictor;Verifier;Ops;DeleteOp;RenameOp;TruncateOp;MemoryBudget;base
0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;0;0;0;0;+;0;+;0;0;0;0;0;0;0;0;0;+;0;0;0;0;0;+;0;+;0;0;+;0;0;0;0;0;0;+;0;0;0;0;+
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;+;0;0;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
