Configuration;root;__SELECTED_FEATURE_line_7;__SELECTED_FEATURE_mutant_5;__SELECTED_FEATURE_line_10;__SELECTED_FEATURE_mutant_4;__SELECTED_FEATURE_mutant_1;__SELECTED_FEATURE_mutant_3;__SELECTED_FEATURE_line_8;__SELECTED_FEATURE_mutant_2
0;+;+;+;+;-;-;+;+;+
1;+;-;-;+;-;-;+;+;+
2;+;-;-;+;-;+;-;+;+
3;+;+;+;+;-;+;-;+;+
4;+;+;+;+;+;-;-;+;+
5;+;-;-;+;+;-;-;+;+
6;+;+;+;-;-;-;-;+;+
7;+;-;-;+;-;-;+;-;-
8;+;+;+;+;-;+;-;-;-
9;+;+;+;+;+;-;-;-;-
10;+;+;+;+;-;-;+;-;-
11;+;-;-;-;-;-;-;+;+
12;+;-;-;+;-;+;-;-;-
13;+;-;-;+;+;-;-;-;-
14;+;+;+;-;-;-;-;-;-
